"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT08","WT11"
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-02",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-03",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-04",,,"0.00","0.0","0.0",,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-05",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-06",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-07",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-08",,,"0.02",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-09",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-10",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-11",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-12",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-13",,,"0.33",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-14",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-15",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-16",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-17",,,"0.54",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-18",,,"0.22",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-19",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-20",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-21",,,"0.06",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-22",,,"0.00",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-23",,,"0.07",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-24",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-25",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-26",,,"0.00",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-28",,,"0.48",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-01",,,"0.03",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-02",,,"0.01",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-03",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-04",,,"0.65",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-05",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-06",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-07",,,"0.02",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-08",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-09",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-10",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-11",,,"0.31",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-12",,,"0.10",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-13",,,"0.04",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-14",,,"0.18",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-15",,,"0.00",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-16",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-17",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-18",,,"0.04",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-19",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-20",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-21",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-22",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-23",,,"0.00",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-24",,,"0.33",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-25",,,"0.09",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-26",,,"0.24",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-27",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-28",,,"0.15",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-29",,,"0.00",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-30",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-03-31",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-01",,,"0.00",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-02",,,"0.68",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-03",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-04",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-05",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-06",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-07",,,"0.16",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-08",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-09",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-10",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-11",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-12",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-13",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-14",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-15",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-16",,,"1.35",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-17",,,"0.00",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-18",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-19",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-20",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-21",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-22",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-23",,,"0.59",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-24",,,"0.02",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-25",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-26",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-27",,,"0.05",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-28",,,"0.00",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-29",,,"2.69",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-04-30",,,"0.02",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-05-01",,,"2.89",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-05-04",,,"0.04",,,,,,,,,,,,,
